subsp. lactis S0 ,NZ_CP010050.1,
AI06 ,NZ_CP009472.1,
lactis KLDS 4.0325 ,NC_022593.1,
cremoris KW2 ,NC_022369.1,
61-14 ,??,
lactis M78 ,??,
cremoris SMQ-461 ,??,
lactis IO-1 ,NC_020450.1,
cremoris UC509.9 ,NC_019435.1,
cremoris A76 ,NC_017492.1,
lactis CV56 ,NC_017486.1,
cremoris NZ9000 ,NC_017949.1,
lactis KF147 ,NC_013656.1,
lactis Il1403 ,??,
cremoris SK11 ,NC_008527.1,
cremoris MG1363 ,NC_009004.1 (2versions!!),
,,
,,
Lactococcus lactis JCM 5805 ,BBSI00000000.1,
Lactococcus lactis subsp. cremoris DPC6860 ,LAVX00000000.1,
Lactococcus lactis subsp. cremoris DPC6856 ,LAVW00000000.1,
Lactococcus lactis subsp. lactis DPC6853 ,LAVD00000000.1,
Lactococcus lactis strain:Ll1596 ,?????,
Lactococcus lactis subsp. lactis S0 ,,
Lactococcus lactis subsp. lactis 1AA59 ,AZQT00000000.1,
Lactococcus lactis subsp. cremoris Mast36 ,JZUI00000000.1,
Lactococcus lactis subsp. cremoris IBB477 ,,
Lactococcus lactis Bpl1 ,JRFX00000000.1,
Lactococcus lactis lactis CECT 4433 ,,
Lactococcus lactis AI06 ,,
Lactococcus lactis cremoris A17 ,JQIC00000000.1,
Lactococcus lactis lactis Dephy 1 ,CBUJ000000000.1,
Lactococcus lactis lactis S3 ,,
Lactococcus lactis cremoris GE214 ,NZ_AZSI00000000.1,
Lactococcus lactis lactis NCDO 604 ,,
Lactococcus lactis lactis GL2 ,JNCC00000000.2,
Lactococcus lactis lactis JCM 7638 ,BBAP00000000.1,
"Lactococcus lactis lactis JCM 5805, NBRC 100933 ",BALX00000000.1,
Lactococcus lactis cremoris HP ,JAUH00000000.1,
Lactococcus lactis hordniae NBRC 100931 ,NR_113958.1,
Lactococcus lactis cremoris NBRC 100676 ,NR_113925.1,
"Lactococcus lactis lactis JCM 5805, NBRC 100933 ",,
